Publisher,Type
Business Insider,Guaranteed Placement
InsiderTracking (INK Research),Guaranteed Placement
Yahoo Finance,Guaranteed Placement
Yahoo Finance Canada,Guaranteed Placement
Yahoo Finance Spain (Yahoo Finanzas),Guaranteed Placement
Benzinga,Guaranteed Placement
Apple News,Guaranteed Placement
Associated Press (AP),Guaranteed Placement
Barchart.com,Guaranteed Placement
Marketwatch,Guaranteed Placement
The Globe and Mail,Guaranteed Placement
StreetInsider.com,Guaranteed Placement
Digital Journal,Guaranteed Placement
National Post,Guaranteed Placement
Financial Post,Guaranteed Placement
Dow Jones Factiva,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Thomson Reuters Newsroom and Terminals,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Canadian Insider,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Bloomberg Terminal,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Postmedia,Newsroom Terminal Submission (Guaranteed Submission; Coverage at Journalist's Discretion)
Newsfile Corp.,Guaranteed Placement
Central Charts,Guaranteed Placement
FinanzNachrichten,Guaranteed Placement
INK Research,Guaranteed Placement
Canada.com,Guaranteed Placement
Canoe.com,Guaranteed Placement
Windsor Star,Guaranteed Placement
London Free Press,Guaranteed Placement
Toronto Sun,Guaranteed Placement
Ottawa Citizen,Guaranteed Placement
Ottawa Sun,Guaranteed Placement
Montreal Gazette,Guaranteed Placement
The Province,Guaranteed Placement
Vancouver Sun,Guaranteed Placement
Regina Leader Post,Guaranteed Placement
Saskatoon Star Phoenix,Guaranteed Placement
Winnipeg Sun,Guaranteed Placement
Calgary Herald,Guaranteed Placement
Calgary Sun,Guaranteed Placement
Edmonton Journal,Guaranteed Placement
Edmonton Sun,Guaranteed Placement
Airdrie Echo,Guaranteed Placement
Belleville Intelligencer,Guaranteed Placement
Bow Valley Crag & Canyon,Guaranteed Placement
Brantford Expositor,Guaranteed Placement
Brockville Recorder & Times,Guaranteed Placement
Chatham Daily News,Guaranteed Placement
Chatham This Week,Guaranteed Placement
Clinton News Record,Guaranteed Placement
Cochrane Times,Guaranteed Placement
Cochrane Times-Post,Guaranteed Placement
Cold Lake Sun,Guaranteed Placement
Cornwall Standard-Freeholder,Guaranteed Placement
County Market,Guaranteed Placement
Devon Dispatch,Guaranteed Placement
Drayton Valley Western Review,Guaranteed Placement
Edmonton Examiner,Guaranteed Placement
Elliot Lake Standard,Guaranteed Placement
Exeter Lakeshore Times Advance,Guaranteed Placement
Fairview Post,Guaranteed Placement
Fort Mcmurray Today,Guaranteed Placement
Fort Saskatchewan Record,Guaranteed Placement
Gananoque Reporter,Guaranteed Placement
Goderich Signal Star,Guaranteed Placement
Grande Prairie Daily Herald Tribune,Guaranteed Placement
Grey Bruce This Week,Guaranteed Placement
Hanna Herald,Guaranteed Placement
Hanover Post,Guaranteed Placement
High River Times,Guaranteed Placement
Kenora Miner,Guaranteed Placement
Kincardine News,Guaranteed Placement
Kingston/Frontenac This Week,Guaranteed Placement
La Nouvelle Beaumont News,Guaranteed Placement
Leduc Representative,Guaranteed Placement
Lucknow Sentinel,Guaranteed Placement
Mayerthorpe Freelancer,Guaranteed Placement
Melfort Journal,Guaranteed Placement
Mid-North Monitor,Guaranteed Placement
Mitchell Advocate,Guaranteed Placement
Nanton News,Guaranteed Placement
Nipawin Journal,Guaranteed Placement
North Bay Nugget,Guaranteed Placement
Northern News,Guaranteed Placement
Ontario Farmer,Guaranteed Placement
Owen Sound Sun Times,Guaranteed Placement
Peace River Record Gazette,Guaranteed Placement
Pembroke Observer,Guaranteed Placement
Pincher Creek Echo,Guaranteed Placement
Prince George Post,Guaranteed Placement
Sarnia & Lambton County This Week,Guaranteed Placement
Sault Star,Guaranteed Placement
Sault This Week,Guaranteed Placement
Seaforth Huron Expositor,Guaranteed Placement
Sherwood Park News,Guaranteed Placement
Simcoe Reformer,Guaranteed Placement
Spruce Grove Examiner,Guaranteed Placement
St. Thomas Times-Journal,Guaranteed Placement
Stony Plain Reporter,Guaranteed Placement
Strathroy Age Dispatch,Guaranteed Placement
Sudbury Star,Guaranteed Placement
The Community Press,Guaranteed Placement
The County Weekly News,Guaranteed Placement
The Daily Press,Guaranteed Placement
The Graphic Leader,Guaranteed Placement
The Kingston Whig Standard,Guaranteed Placement
The Londoner,Guaranteed Placement
The Napanee Guide,Guaranteed Placement
The Paris Star,Guaranteed Placement
The Peace Country Sun,Guaranteed Placement
The Sarnia Observer,Guaranteed Placement
The Shoreline Beacon,Guaranteed Placement
The Stratford Beacon Herald,Guaranteed Placement
The West Elgin Chronicle,Guaranteed Placement
The Woodstock Sentinel Review,Guaranteed Placement
Tillsonburg News,Guaranteed Placement
Timmins Times,Guaranteed Placement
Today'S Farmer,Guaranteed Placement
Trenton Trentonian,Guaranteed Placement
Vermilion Standard,Guaranteed Placement
Vulcan Advocate,Guaranteed Placement
Wallaceburg Courier Press,Guaranteed Placement
Wetaskiwin Times,Guaranteed Placement
Whitecourt Star,Guaranteed Placement
Wiarton Echo,Guaranteed Placement
1st Discount Brokerage,Guaranteed Placement
Benton Courier,Guaranteed Placement
Big Spring Herald,Guaranteed Placement
Bingham News Chronicle,Guaranteed Placement
Borger News-Herald,Guaranteed Placement
Boston Herald,Guaranteed Placement
BPAS,Guaranteed Placement
Burlingame.com,Guaranteed Placement
CorteMadera.com,Guaranteed Placement
Custer County Chief,Guaranteed Placement
Daily Times Leader,Guaranteed Placement
DalyCity.com,Guaranteed Placement
Decatur Daily Democrat,Guaranteed Placement
Deer Park Tribune,Guaranteed Placement
Fat Pitch Financials,Guaranteed Placement
Franklin Credit Management Corporation,Guaranteed Placement
Great American Advisors,Guaranteed Placement
International Business Times,Guaranteed Placement
Inyo Register,Guaranteed Placement
Kane Republican,Guaranteed Placement
Kelowna Daily Courier,Guaranteed Placement
Livermore.com,Guaranteed Placement
LosAltos.com,Guaranteed Placement
Malvern Daily Record,Guaranteed Placement
Mammoth Times,Guaranteed Placement
MenloPark.com,Guaranteed Placement
MillValley.com,Guaranteed Placement
Minster Community Post,Guaranteed Placement
myMotherLode.com California Gold Country,Guaranteed Placement
NewsOK,Guaranteed Placement
Observer News Enterprise,Guaranteed Placement
Penticton Herald,Guaranteed Placement
Pittsburgh Post-Gazette,Guaranteed Placement
Pleasanton.com,Guaranteed Placement
Poteau Daily News,Guaranteed Placement
Press-Telegram,Guaranteed Placement
Ridgway Record,Guaranteed Placement
SanAnselmo.com,Guaranteed Placement
SanRafael.com,Guaranteed Placement
SantaClara.com,Guaranteed Placement
Sausalito.com,Guaranteed Placement
Sign On San Diego,Guaranteed Placement
Spoke.com,Guaranteed Placement
Star Tribune,Guaranteed Placement
Starkville Daily News,Guaranteed Placement
StreetInsider,Guaranteed Placement
Sunnyvale.com,Guaranteed Placement
Sweetwater Reporter,Guaranteed Placement
Tamar Securities,Guaranteed Placement
The Antlers American,Guaranteed Placement
The Buffalo News,Guaranteed Placement
The Chronicle Journal,Guaranteed Placement
The Evening Leader,Guaranteed Placement
The Newport Daily Express,Guaranteed Placement
The Pilot News,Guaranteed Placement
The Punxsutawney Spirit,Guaranteed Placement
Townhall Finance,Guaranteed Placement
Valley City Times-Record,Guaranteed Placement
Value Investing News,Guaranteed Placement
WallStreetSelect,Guaranteed Placement
WalnutCreekGuide.com,Guaranteed Placement
Wapakoneta Daily News,Guaranteed Placement
"Winslow, Evans & Crocker",Guaranteed Placement
WRAL,Guaranteed Placement
Antelope Valley Press,Guaranteed Placement
Appeal-Democrat,Guaranteed Placement
Bakersfield.com,Guaranteed Placement
fox47,"FOX Affiliate, Guaranteed Placement"
FWNBC,"NBC Affiliate, Guaranteed Placement"
Hannibal Courier - Post,Guaranteed Placement
Herald-Whig,Guaranteed Placement
Imperial Valley Press,Guaranteed Placement
KBJR/CBS3,Guaranteed Placement
KTIV,Guaranteed Placement
KTTC,Guaranteed Placement
KVOA,"NBC Affiliate, Guaranteed Placement"
KWWL,"NBC Affiliate, Guaranteed Placement"
lodinews.com,Guaranteed Placement
Millennium Trust Company,Guaranteed Placement
Santa Maria Times,Guaranteed Placement
Shelby Daily Globe,Guaranteed Placement
The Porterville Recorder,Guaranteed Placement
The Sun Chronicle,Guaranteed Placement
The Union Democrat,Guaranteed Placement
The Westerly Sun,Guaranteed Placement
Times-Herald,Guaranteed Placement
WAOW,"ABC affiliate, Guaranteed Placement"
WBNG,Guaranteed Placement
WEEK/HOIABC,Guaranteed Placement
WGEM,Guaranteed Placement
WKOW,"ABC affiliate, Guaranteed Placement"
WPTA,Guaranteed Placement
WQOW,"ABC affiliate, Guaranteed Placement"
WREX,"NBC Affiliate, Guaranteed Placement"
WSIL,Guaranteed Placement
WVVA,Guaranteed Placement
WXOW,"ABC affiliate, Guaranteed Placement"
7 Rivers Livestock,Guaranteed Placement
Ag Southwest Crop & Ranch Insurance,Guaranteed Placement
AgBest Cooperative Inc.,Guaranteed Placement
AgRail LLC ,Guaranteed Placement
"Agri-Way Partners, LLC.",Guaranteed Placement
AGrowStar,Guaranteed Placement
Anton Co-op,Guaranteed Placement
Arabi Gin,Guaranteed Placement
Augusta Farmers Coop,Guaranteed Placement
Azalia Elevator Inc.,Guaranteed Placement
Banner Co-operative Elevator Association,Guaranteed Placement
Bar-G Feedyard,Guaranteed Placement
Beardsley Farmers Elevator Company,Guaranteed Placement
"Bieri Grain, LLC",Guaranteed Placement
Bloomington Livestock Exchange,Guaranteed Placement
Bolt Marketing LLC,Guaranteed Placement
Boston Gin Company,Guaranteed Placement
BRT AG & TURF,Guaranteed Placement
"Brugler Marketing & Management, LLC",Guaranteed Placement
Butterfield & Associates Grain,Guaranteed Placement
Cain Agra,Guaranteed Placement
Cameron Grain Corporation,Guaranteed Placement
"CDR Farms, LLC",Guaranteed Placement
Cedar County Coop,Guaranteed Placement
Central Plains Trading,Guaranteed Placement
Cherokee Gin & Cotton Co. ,Guaranteed Placement
Choice Cotton,Guaranteed Placement
Clare-Mar Farms Limited,Guaranteed Placement
Collwest Grain Ltd.,Guaranteed Placement
"CO-OP Services, Inc.",Guaranteed Placement
Cooperative Grain and Supply,Guaranteed Placement
Corpus Christi Grain Company,Guaranteed Placement
Country Futures Inc.,Guaranteed Placement
Countryside Ag Service,Guaranteed Placement
"CropGuard Group, Inc.",Guaranteed Placement
"Cunningham Farms, Inc.",Guaranteed Placement
Dacoma Farmers Coop,Guaranteed Placement
Danvers Farmers Elevator Company,Guaranteed Placement
Dean Cluck Feedyard,Guaranteed Placement
"Dixon Gin Co., Inc.",Guaranteed Placement
Doerun Gin Company,Guaranteed Placement
"Doon Elevator, Inc",Guaranteed Placement
"Driscoll Grain Coop, Inc.",Guaranteed Placement
Dumas Co-op Elevators,Guaranteed Placement
Dummer&#39;s Grain Service & Buck County Grain,Guaranteed Placement
Earling Grain & Feed,Guaranteed Placement
Edon Farmers Co-op,Guaranteed Placement
Elkhart Coop Equity Exchange,Guaranteed Placement
Farmers Co-op Alva,Guaranteed Placement
"Farmers Coop Association - Snyder, OK",Guaranteed Placement
Farmers Coop Elevator - Morganville Coop,Guaranteed Placement
Farmers Coop Elevator Rosholt,Guaranteed Placement
Farmers Coop Mill and Elevator - Carnegie,Guaranteed Placement
"Farmers Cooperative - Carmen, Aline, Cherokee, Ames, Drummond",Guaranteed Placement
"Farmers Cooperative Association - Tonkawa, OK",Guaranteed Placement
Farmers Cooperative Association of Eldorado,Guaranteed Placement
Farmers Cooperative Elevator Co. MN Hanley Falls,Guaranteed Placement
"Farmers Elevator & Exchange, Inc.",Guaranteed Placement
Farmers Exchange,Guaranteed Placement
Farmers Grain Company - Roseville,Guaranteed Placement
Farmers Grain Elevator,Guaranteed Placement
Farmers Grain of Dorans,Guaranteed Placement
Forest Agri Services LTD.,Guaranteed Placement
"French Camp Grain Company, Inc.",Guaranteed Placement
"Friona Wheat Growers, Inc.",Guaranteed Placement
Gard Trading Services (Farmers View),Guaranteed Placement
Glendenning Grain,Guaranteed Placement
Glenwood Elevator Inc.,Guaranteed Placement
Gowanlea LTD.,Guaranteed Placement
Grainland Cooperative - IL,Guaranteed Placement
"Green City Livestock Marketing, LLC",Guaranteed Placement
Gulf Coast Cooperative,Guaranteed Placement
"H & B Specialties, Inc.",Guaranteed Placement
"Hemmer Grain, LLC",Guaranteed Placement
Holmes Agro,Guaranteed Placement
"Hull Feed & Produce, Inc",Guaranteed Placement
Ida Farmers Co-op,Guaranteed Placement
InterMountain Beef,Guaranteed Placement
Investors Commodity Services,Guaranteed Placement
Iowa Farm Bureau,Guaranteed Placement
"James Valley Grain, LLC",Guaranteed Placement
J-LYN Grains,Guaranteed Placement
Judge Farms,Guaranteed Placement
Keller Grain,Guaranteed Placement
Land Run Farmers Cooperative - OK,Guaranteed Placement
"Lang Farms, Ltd.",Guaranteed Placement
LeRoy Coop,Guaranteed Placement
Les Young Farms Ltd,Guaranteed Placement
Lick Elevator Inc.,Guaranteed Placement
Litchfield Farmers Grain,Guaranteed Placement
Little Sioux Corn Processors,Guaranteed Placement
Lubbock Feeders,Guaranteed Placement
McCune Farmers Union Coop Association,Guaranteed Placement
Meade Cooperative & Elevator Supply Company,Guaranteed Placement
Melrose Farm Service Inc,Guaranteed Placement
Mid-Columbia Insurance Inc.,Guaranteed Placement
"Mid-Valley Cotton Growers, Inc.",Guaranteed Placement
Mobley Gin Company,Guaranteed Placement
"Montrose Grain and Supply, LLC",Guaranteed Placement
Mulvane Cooperative Union,Guaranteed Placement
North Missouri Livestock Auction LLC,Guaranteed Placement
Northwest Investments,Guaranteed Placement
Offerle Cooperative Grain & Supply Company,Guaranteed Placement
OFOR,Guaranteed Placement
"Omega Farm Supply, Inc. & Gin Company",Guaranteed Placement
Parrish Shop & Sales LLC,Guaranteed Placement
PCE Producers Coop Elevator,Guaranteed Placement
Petersen Custom Farming,Guaranteed Placement
"Pilot Grove Elevator Cooperative, Inc.",Guaranteed Placement
Prairie Central Coop,Guaranteed Placement
Premium Feed & Grain,Guaranteed Placement
Prentice Elevator,Guaranteed Placement
Pro Ag Farmers Co-op,Guaranteed Placement
Pro-Ag Marketing,Guaranteed Placement
Professional Ag Marketing Inc.,Guaranteed Placement
"Progressive Marketing Strategies, Inc",Guaranteed Placement
Punkin Center Gin,Guaranteed Placement
"Rangeland Cooperatives, Inc.",Guaranteed Placement
RCM Co-op,Guaranteed Placement
Remsen Farmers Coop,Guaranteed Placement
Rickett Grain Co.,Guaranteed Placement
Ringneck Energy,Guaranteed Placement
RKM Grain,Guaranteed Placement
Roanoke Farmers Association,Guaranteed Placement
Rolling Acres Farm - Canada,Guaranteed Placement
Rolling Hills Gin,Guaranteed Placement
S & B Cattle Company,Guaranteed Placement
Salem Grain,Guaranteed Placement
Sargeant Grain Co.,Guaranteed Placement
Schlabs Hysinger,Guaranteed Placement
Schramm Feedlot,Guaranteed Placement
"Sidwell Strategies, LLC",Guaranteed Placement
SilverEdge Cooperative,Guaranteed Placement
Siouxland Energy Cooperative,Guaranteed Placement
Snittjer Grain Co,Guaranteed Placement
"Sooner Cooperative, Inc.",Guaranteed Placement
"Sowega Cotton Gin & Warehouse, LLC.",Guaranteed Placement
Spartan Insurance Agency,Guaranteed Placement
Stafford County Flour Mills,Guaranteed Placement
State Line Grain & Feed LLC,Guaranteed Placement
Stickney Coop Elevator,Guaranteed Placement
Stone Station Elevator,Guaranteed Placement
Stoneybrook Elevators,Guaranteed Placement
Strauss Feedmill / MPS Egg Farms,Guaranteed Placement
Texas Producers Cooperative,Guaranteed Placement
The Cotton Gin,Guaranteed Placement
The Farmers Elevator Grain & Supply Assn.,Guaranteed Placement
"The Insurance Shop, Inc.",Guaranteed Placement
The Jewell Grain Co.,Guaranteed Placement
Top Tier Commodities,Guaranteed Placement
Trainor Grain & Supply Company,Guaranteed Placement
Tremont Co-operative Grain Co.,Guaranteed Placement
"Tri-Cities Grain, LLC.",Guaranteed Placement
Triple-M-Farms,Guaranteed Placement
"Trotter, Inc.",Guaranteed Placement
Turner Seed Inc.,Guaranteed Placement
"Turon Mill & Elevator, Inc.",Guaranteed Placement
Underwood Grain Limited,Guaranteed Placement
USA-LSA,Guaranteed Placement
Uvalde County Farmers Coop,Guaranteed Placement
Waitt Grain Co,Guaranteed Placement
Walters Co-op Elevator Assn,Guaranteed Placement
Waukon Feed Ranch,Guaranteed Placement
Western Cooperative Company,Guaranteed Placement
Wheatfield Grain,Guaranteed Placement
Wilson Farms Grain Storage and Elevation ,Guaranteed Placement
"Winchester Ag Service, Inc",Guaranteed Placement
